Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.0B0003.1,Success,4 June 2010,18:45
2,CCAFS,Dragon,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.0B0004.1,Success,8 December 2010,15:43
3,CCAFS,Dragon,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.0B0005.1,Success,22 May 2012,07:44
4,CCAFS,SpaceX CRS-1,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.0B0006.1,Success,8 October 2012,00:35
5,CCAFS,SpaceX CRS-2,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.0B0007.1,Success,1 March 2013,15:10
6,VAFB,CASSIOPE,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1B1003,Success,29 September 2013,16:00
7,CCAFS,SES-8,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,3 December 2013,22:41
8,CCAFS,Thaicom 6,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,6 January 2014,22:06
9,Cape Canaveral,SpaceX CRS-3,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,18 April 2014,19:25
10,Cape Canaveral,Orbcomm-OG2,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,14 July 2014,15:15
11,Cape Canaveral,AsiaSat 8,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,5 August 2014,08:00
12,Cape Canaveral,AsiaSat 6,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,7 September 2014,05:00
13,Cape Canaveral,SpaceX CRS-4,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,21 September 2014,05:52
14,Cape Canaveral,SpaceX CRS-5,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,10 January 2015,09:47
